K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
6,48,2.0,1,14,0,0,0.818131998504,1.01520269407,1.09176774722
6,48,2.0,1,14,1,1,0.90920045922,1.14399294632,1.14399294632
6,48,2.0,1,14,2,1,0.965847168232,1.18404821839,1.18404821839
6,48,2.0,1,14,3,1,0.994172681738,1.21193356344,1.21193356344
6,48,2.0,1,14,4,0,0.996175485047,1.21334975924,1.21296407917
6,48,2.0,1,14,5,0,0.998178288356,1.21476595504,1.21373696596
6,48,2.0,1,14,6,0,1,1.21611354813,1.21431663106
6,48,2.0,1,15,0,0,0.863666228862,1.05525796614,1.14399294632
6,48,2.0,1,15,1,1,0.954734689578,1.18404821839,1.18404821839
6,48,2.0,1,15,2,1,0.994170522738,1.21193356344,1.21193356344
6,48,2.0,1,15,3,1,0.995627892054,1.21296407917,1.21296407917
6,48,2.0,1,15,4,0,0.997085261369,1.21399459489,1.21373696596
6,48,2.0,1,15,5,0,0.998542630685,1.21502511062,1.21431663106
6,48,2.0,1,15,6,0,1,1.21611354813,1.21475137988
6,48,2.0,1,16,0,0,0.865123598178,1.05628848187,1.18404821839
6,48,2.0,1,16,1,0,0.956192058893,1.18507873412,1.21193356344
6,48,2.0,1,16,2,1,0.995627892054,1.21296407917,1.21296407917
6,48,2.0,1,16,3,1,0.99672091904,1.21373696596,1.21373696596
6,48,2.0,1,16,4,0,0.997813946027,1.21450985275,1.21431663106
6,48,2.0,1,16,5,0,0.998906973013,1.21528273955,1.21475137988
6,48,2.0,1,16,6,0,1,1.21611354813,1.21507744149
6,48,2.0,1,17,0,0,0.866216625164,1.05706136866,1.21193356344
6,48,2.0,1,17,1,0,0.95728508588,1.18585162091,1.21296407917
6,48,2.0,1,17,2,1,0.99672091904,1.21373696596,1.21373696596
6,48,2.0,1,17,3,1,0.99754068928,1.21431663106,1.21431663106
6,48,2.0,1,17,4,0,0.99836045952,1.21489629615,1.21475137988
6,48,2.0,1,17,5,0,0.99918022976,1.21547596125,1.21507744149
6,48,2.0,1,17,6,0,1,1.21611354813,1.21534915951
