task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_diversity,5,14,0.515348,13.6547,31.6332,0.00,0.071121,0.031215,0,0.000000
E3,business_diversity,6,14,0.602987,13.6547,31.6332,0.85,0.071036,0.031199,0,0.000000
E3,business_diversity,7,14,0.565815,13.6547,31.6332,3.01,0.070976,0.031187,1,0.142857
E3,business_facility,3,14,0.768138,49.4662,22.9397,1.59,0.020080,0.042962,0,0.000000
E3,business_facility,4,14,0.683055,49.4662,24.6838,3.66,0.020063,0.039901,0,0.000000
E3,business_facility,5,14,0.621310,49.4662,30.1346,5.00,0.020053,0.032747,0,0.000000
E3,business_facility,6,14,0.573563,49.4662,30.1346,6.84,0.020046,0.032729,1,0.166667
E3,business_facility,7,14,0.558893,49.4662,30.1346,7.52,0.020042,0.032716,1,0.142857
E3,business_coverage,3,15,0.875095,2.02588,6.12255,0.00,0.416849,0.154600,0,0.000000
E3,business_coverage,4,15,0.891298,2.02588,10.6465,0.00,0.409527,0.090670,0,0.000000
E3,business_coverage,5,15,0.911160,2.02588,14.1062,0.80,0.405307,0.068909,0,0.000000
E3,business_coverage,6,15,0.862951,4.17087,14.4094,3.40,0.217045,0.067423,0,0.000000
E3,business_coverage,7,15,0.816425,5.93637,18.5243,7.74,0.156768,0.052750,0,0.000000
E3,business_diversity,3,15,0.935826,1.36191,17.8944,0.00,0.569211,0.054849,0,0.000000
E3,business_diversity,4,15,1.000000,1.36191,29.4403,0.00,0.555691,0.033537,0,0.000000
E3,business_diversity,5,15,0.894393,25.5294,29.4403,0.80,0.038562,0.033509,0,0.000000
E3,business_diversity,6,15,0.887407,25.5294,29.4403,1.36,0.038537,0.033490,0,0.000000
E3,business_diversity,7,15,0.852006,25.5294,29.4403,1.79,0.038519,0.033477,0,0.000000
E3,business_facility,3,15,0.876190,1.8599,13.8465,0.00,0.447059,0.070496,0,0.000000
E3,business_facility,4,15,0.818980,2.97622,16.0632,0.00,0.295983,0.060816,0,0.000000
E3,business_facility,5,15,0.733100,36.7748,20.3157,0.00,0.026898,0.048263,0,0.000000
E3,business_facility,6,15,0.694465,36.7748,21.7335,0.00,0.026886,0.045139,0,0.000000
E3,business_facility,7,15,0.667152,36.7748,21.7335,0.00,0.026878,0.045114,0,0.000000
E3,business_coverage,3,16,0.808852,2.24441,16.2928,15.15,0.382655,0.060130,0,0.000000
E3,business_coverage,4,16,0.658983,2.24441,16.2928,26.19,0.376482,0.059979,1,0.250000
E3,business_coverage,5,16,0.679688,2.24441,16.2928,32.00,0.372911,0.059888,1,0.200000
E3,business_coverage,6,16,0.651811,2.24441,29.1853,36.84,0.370583,0.033778,2,0.333333
E3,business_coverage,7,16,0.754673,2.24441,29.1853,39.68,0.368945,0.033765,2,0.285714
E3,business_diversity,3,16,0.742424,2.24441,35.3142,15.15,0.382655,0.028051,0,0.000000
E3,business_diversity,4,16,0.641096,2.24441,35.3142,26.19,0.376482,0.028018,1,0.250000
E3,business_diversity,5,16,0.553191,2.24441,35.3142,32.00,0.372911,0.027998,2,0.400000
E3,business_diversity,6,16,0.539927,2.24441,35.3142,35.09,0.370583,0.027985,3,0.500000
E3,business_diversity,7,16,0.655566,2.24441,35.3142,36.51,0.368945,0.027976,3,0.428571
E3,business_facility,3,16,0.635676,2.24441,58.7558,12.12,0.382655,0.016923,0,0.000000
E3,business_facility,4,16,0.554136,2.24441,58.7558,21.43,0.376482,0.016911,1,0.250000
E3,business_facility,5,16,0.492754,2.24441,58.7558,28.00,0.372911,0.016904,2,0.400000
E3,business_facility,6,16,0.476936,2.24441,58.7558,31.58,0.370583,0.016899,3,0.500000
E3,business_facility,7,16,0.498648,2.24441,58.7558,33.33,0.368945,0.016896,4,0.571429
E3,business_coverage,3,17,0.545194,6.98114,54.5925,24.24,0.136512,0.018206,1,0.333333
E3,business_coverage,4,17,0.488108,6.98114,80.5496,28.57,0.135731,0.012357,2,0.500000
E3,business_coverage,5,17,0.460784,20.844,80.5496,30.00,0.047064,0.012353,2,0.400000
E3,business_coverage,6,17,0.434013,20.844,88.7772,31.58,0.047027,0.011211,3,0.500000
E3,business_coverage,7,17,0.590093,20.844,88.7772,31.75,0.047000,0.011210,3,0.428571
E3,business_diversity,3,17,0.306905,4.59043,10.7254,3.03,0.202409,0.090369,1,0.333333
E3,business_diversity,4,17,0.282187,154.146,18.3652,4.76,0.006472,0.053349,1,0.250000
