dataset,seed,K,method,oos_acc,features
breast_cancer,7,1,greedy_f,0.885965,worst perimeter
breast_cancer,7,2,selectkbest,0.894737,worst concave points|worst perimeter
breast_cancer,7,2,mutual_info,0.868421,worst area|worst perimeter
breast_cancer,7,2,extra_trees,0.885965,worst radius|worst perimeter
breast_cancer,7,2,rfe,0.912281,worst area|worst concave points
breast_cancer,7,2,greedy_ftilde,0.956140,worst perimeter|worst smoothness
breast_cancer,7,2,greedy_f,0.956140,worst perimeter|worst smoothness
breast_cancer,7,3,selectkbest,0.912281,worst concave points|worst perimeter|worst radius
breast_cancer,7,3,mutual_info,0.868421,worst area|worst perimeter|worst radius
breast_cancer,7,3,extra_trees,0.912281,worst radius|worst perimeter|worst concave points
