task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,digits20,7,2,0.906542,19,25.1395,26.67,0.051459,0.039106
E1,digits20,1,3,1.000000,1,2.74048,0.00,1.000000,0.364899
E1,digits20,2,3,0.921875,1.38462,12.6192,9.09,0.591821,0.077674
E1,digits20,3,3,1.006494,1.38462,12.6192,14.58,0.562306,0.077169
E1,digits20,4,3,0.918750,1.38462,12.6192,23.44,0.549102,0.076920
E1,digits20,5,3,0.955056,1.38462,12.6192,26.58,0.541604,0.076772
E1,digits20,6,3,0.962963,1.58333,41.3488,25.81,0.486936,0.023942
E1,digits20,7,3,0.958549,8.33333,69.4167,26.17,0.114002,0.014317
E1,digits20,1,4,1.000000,1,2.54171,0.00,1.000000,0.393436
E1,digits20,2,4,0.868613,2.2,267.059,12.12,0.402893,0.003741
E1,digits20,3,4,0.993464,2.2,267.059,16.67,0.389153,0.003740
E1,digits20,4,4,1.000000,2.2,267.059,20.00,0.382769,0.003739
E1,digits20,5,4,0.979058,2.2,267.059,18.75,0.379079,0.003739
E1,digits20,6,4,0.975610,2.2,267.059,19.35,0.376674,0.003739
E1,digits20,7,4,0.971429,2.2,267.059,21.90,0.374982,0.003738
E1,digits20,1,5,1.000000,1,2.23158,0.00,1.000000,0.448114
E1,digits20,2,5,0.927419,1.31034,6.14038,11.43,0.617555,0.156226
E1,digits20,3,5,0.899329,1.52632,17.7049,16.00,0.522505,0.055425
E1,digits20,4,5,0.864706,1.69231,17.7049,16.67,0.472388,0.055297
E1,digits20,5,5,0.898936,1.69231,28.7852,18.18,0.466794,0.034261
E1,digits20,6,5,0.960000,1.69231,28.7852,19.57,0.463168,0.034241
E1,digits20,7,5,0.948980,1.69231,28.7852,20.95,0.460628,0.034227
E1,digits20,1,6,1.000000,1,3.28579,5.26,1.000000,0.304341
E1,digits20,2,6,1.000000,1,23.7538,14.29,0.750000,0.041655
E1,digits20,3,6,0.986111,1.66667,23.7538,20.41,0.488000,0.041511
E1,digits20,4,6,0.942529,1.66667,24.2766,22.73,0.477994,0.040560
E1,digits20,5,6,0.957895,1.66667,24.2766,24.39,0.472268,0.040519
E1,digits20,6,6,1.005102,1.66667,40.4763,26.04,0.468559,0.024453
E1,digits20,7,6,0.985075,18,66.1269,31.82,0.054250,0.015025
E1,digits20,1,7,1.000000,1,4.87176,0.00,1.000000,0.205265
E1,digits20,2,7,0.890625,1.77778,49.7747,6.06,0.483398,0.019990
E1,digits20,3,7,1.035461,1.77778,49.7747,10.42,0.463623,0.019956
E1,digits20,4,7,1.024540,1.77778,77.6606,18.75,0.454580,0.012814
