n,K,tau,eta,defn,mode,status,min_delta,note
48,6,1,1.5,true,D_cap,SMAX=13,2.55676071,T=13 first_bad_smax=14
48,6,2,1.5,true,D_cap,SMAX=13,2.55676071,T=13 first_bad_smax=14
48,6,1,2.0,true,D_cap,SMAX=17,2.00589391,T=16 first_bad_smax=18
48,6,2,2.0,true,D_cap,SMAX=16,2.00587715,T=16 first_bad_smax=17
48,6,1,3.0,true,D_cap,SMAX=22,0.679057614,T=21 first_bad_smax=23
48,6,2,3.0,true,D_cap,SMAX=21,1.34042946,T=21 first_bad_smax=22
96,6,1,1.5,true,D_cap,SMAX=57,1.33226763e-15,T=13 first_bad_smax=None
96,6,2,1.5,true,D_cap,SMAX=13,2.55676071,T=13 first_bad_smax=14
96,6,1,2.0,true,D_cap,SMAX=16,2.00587715,T=16 first_bad_smax=17
96,6,2,2.0,true,D_cap,SMAX=16,2.00587715,T=16 first_bad_smax=17
96,6,1,3.0,true,D_cap,SMAX=21,1.2387462,T=21 first_bad_smax=22
96,6,2,3.0,true,D_cap,SMAX=21,2.13368269,T=21 first_bad_smax=22
192,6,1,1.5,true,D_cap,SMAX=57,1.33226763e-15,T=13 first_bad_smax=None
192,6,2,1.5,true,D_cap,SMAX=13,2.55676071,T=13 first_bad_smax=14
192,6,1,2.0,true,D_cap,SMAX=66,1.11022302e-15,T=16 first_bad_smax=None
192,6,2,2.0,true,D_cap,SMAX=16,2.00587715,T=16 first_bad_smax=17
192,6,1,3.0,true,D_cap,SMAX=81,1.77635684e-15,T=21 first_bad_smax=None
192,6,2,3.0,true,D_cap,SMAX=21,2.13368269,T=21 first_bad_smax=22
32,4,1,1.5,true,C_relaxF,OK,0,ratio=0.543969727
32,4,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.543703751
32,4,2,1.5,true,C_relaxF,OK,0,ratio=0.633634868
32,4,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.633634868
32,4,1,2.0,true,C_relaxF,OK,0,ratio=0.449637920
32,4,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.449298285
32,4,2,2.0,true,C_relaxF,OK,0,ratio=0.500000000
32,4,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.500000000
32,4,1,3.0,true,C_relaxF,OK,0,ratio=0.328791469
32,4,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.326099829
32,4,2,3.0,true,C_relaxF,OK,0,ratio=0.333333333
32,4,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333333
64,4,1,1.5,true,C_relaxF,OK,0,ratio=0.543703751
64,4,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.543703751
64,4,2,1.5,true,C_relaxF,OK,0,ratio=0.633634868
64,4,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.633634868
64,4,1,2.0,true,C_relaxF,OK,0,ratio=0.449298285
64,4,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.449298285
64,4,2,2.0,true,C_relaxF,OK,0,ratio=0.500000007
64,4,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.500000010
64,4,1,3.0,true,C_relaxF,OK,0,ratio=0.326099829
64,4,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.326099829
64,4,2,3.0,true,C_relaxF,OK,0,ratio=0.333333333
64,4,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333333
128,4,1,1.5,true,C_relaxF,OK,0,ratio=0.543703751
128,4,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.543703751
128,4,2,1.5,true,C_relaxF,OK,0,ratio=0.633634868
128,4,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.633634868
128,4,1,2.0,true,C_relaxF,OK,0,ratio=0.449298285
128,4,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.449298285
128,4,2,2.0,true,C_relaxF,OK,0,ratio=0.500000030
128,4,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.500000008
128,4,1,3.0,true,C_relaxF,OK,0,ratio=0.326099829
128,4,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.326099829
128,4,2,3.0,true,C_relaxF,OK,0,ratio=0.333333353
128,4,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333341
48,6,1,1.5,true,C_relaxF,OK,0,ratio=0.525057128
48,6,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.524603035
48,6,2,1.5,true,C_relaxF,OK,0,ratio=0.583576288
48,6,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.581046657
48,6,1,2.0,true,C_relaxF,OK,0,ratio=0.432177180
48,6,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.430834793
48,6,2,2.0,true,C_relaxF,OK,0,ratio=0.482504727
48,6,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.476267919
48,6,1,3.0,true,C_relaxF,OK,0,ratio=0.318168048
48,6,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.313412964
48,6,2,3.0,true,C_relaxF,OK,0,ratio=0.333333333
48,6,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333333
96,6,1,1.5,true,C_relaxF,OK,0,ratio=0.524603035
96,6,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.524603035
96,6,2,1.5,true,C_relaxF,OK,0,ratio=0.581046657
96,6,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.581046657
96,6,1,2.0,true,C_relaxF,OK,0,ratio=0.430836628
96,6,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.430834793
96,6,2,2.0,true,C_relaxF,OK,0,ratio=0.476267919
96,6,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.476267919
96,6,1,3.0,true,C_relaxF,OK,0,ratio=0.313461159
96,6,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.313412964
96,6,2,3.0,true,C_relaxF,OK,0,ratio=0.333333347
96,6,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333344
192,6,1,1.5,true,C_relaxF,OK,0,ratio=0.524603035
192,6,1,1.5,ysmall,C_relaxF,OK,0,ratio=0.524603035
192,6,2,1.5,true,C_relaxF,OK,0,ratio=0.581046657
192,6,2,1.5,ysmall,C_relaxF,OK,0,ratio=0.581046657
192,6,1,2.0,true,C_relaxF,OK,0,ratio=0.430834793
192,6,1,2.0,ysmall,C_relaxF,OK,0,ratio=0.430834793
192,6,2,2.0,true,C_relaxF,OK,0,ratio=0.476267919
192,6,2,2.0,ysmall,C_relaxF,OK,0,ratio=0.476267919
192,6,1,3.0,true,C_relaxF,OK,0,ratio=0.313412964
192,6,1,3.0,ysmall,C_relaxF,OK,0,ratio=0.313412964
192,6,2,3.0,true,C_relaxF,OK,0,ratio=0.333333346
192,6,2,3.0,ysmall,C_relaxF,OK,0,ratio=0.333333344
37,4,1,1.5,true,E_nthreshold,NMIN=37,6.66133815e-16,T=8 pred=37
