dataset,p,seed,K,eta_sel_csv,eta_sel_fixedk,LK_csv,LK_fixedk,is_inf,n_steps_nonpos_csv,n_zero_steps_replay,n_harmful_zero_replay,n_benign_zero_replay,eta_sel_changed,LK_changed
facebook_government,0.5,1,21,5.15789,inf,0.176983,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,22,5.15789,inf,0.176949,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,23,5.15789,inf,0.176918,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,24,5.15789,inf,0.176890,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,25,5.15789,inf,0.176863,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,26,5.15789,inf,0.176839,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,27,5.15789,inf,0.176817,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,28,5.15789,inf,0.176797,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,29,5.15789,inf,0.176777,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,30,5.15789,inf,0.176759,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
facebook_government,0.5,2,2,1,1,0.750000,0.750000,0,0,0,0,0,0,0
facebook_government,0.5,2,3,1,1,0.703704,0.703704,0,0,0,0,0,0,0
facebook_government,0.5,2,4,1.84615,1.84615,0.441237,0.441237,0,0,0,0,0,0,0
facebook_government,0.5,2,5,2.32632,2.32632,0.362037,0.362037,0,0,0,0,0,0,0
facebook_government,0.5,2,6,2.32632,2.32632,0.359842,0.359842,0,0,0,0,0,0,0
facebook_government,0.5,2,7,2.32632,2.32632,0.358297,0.358297,0,0,0,0,0,0,0
facebook_government,0.5,2,8,2.32632,2.32632,0.357150,0.357150,0,0,0,0,0,0,0
facebook_government,0.5,2,9,2.32632,2.32632,0.356266,0.356266,0,0,0,0,0,0,0
facebook_government,0.5,2,10,2.32632,2.32632,0.355562,0.355562,0,0,0,0,0,0,0
facebook_government,0.5,2,11,2.32632,2.32632,0.354990,0.354990,0,0,0,0,0,0,0
facebook_government,0.5,2,12,2.32632,inf,0.354514,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,13,2.32632,inf,0.354114,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,14,2.32632,inf,0.353771,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,15,2.32632,inf,0.353475,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,16,2.32632,inf,0.353217,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,17,2.32632,inf,0.352989,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,18,2.32632,inf,0.352787,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,2,19,2.63889,inf,0.318035,0.000000,1,1,1,1,0,1,1
